Source,Date,MJD,Fit Coeff.,Log Fit,Defect,Frequency [GHz],Flux Density [Jy],Flux Density Error [Jy],Spectral Index,Closure Phase
1749-101,2022-Oct-14,59866.0,"5.483E-02,-1.329E+00,7.229E-01",Y,3.1%,5.5,0.293,0.006,-0.259,-0.1° ± 0.7°
1749-101,2022-Oct-14,59866.0,"5.483E-02,-1.329E+00,7.229E-01",Y,3.1%,9.0,0.279,0.006,0.051,0.2° ± 0.6°
1749-101,2022-Jun-25,59755.0,"-3.758E-01,8.082E-03,-2.509E-01",Y,2.2%,5.5,0.311,0.004,-0.363,0.1° ± 0.5°
1749-101,2022-Jun-25,59755.0,"-3.758E-01,8.082E-03,-2.509E-01",Y,2.2%,9.0,0.253,0.004,-0.471,0.2° ± 0.8°
1749-101,2022-May-13,59712.0,"-1.968E-01,-3.743E-01,-4.120E-02",Y,1.8%,5.5,0.319,0.004,-0.435,0.6° ± 1.1°
1749-101,2022-May-13,59712.0,"-1.968E-01,-3.743E-01,-4.120E-02",Y,1.8%,9.0,0.256,0.004,-0.453,1° ± 1.6°
1424-418,2014-Jun-23,56831.0,"7.639E-01,8.118E-03",Y,0.9%,95.0,6.025,0.102,0.008,0° ± 0.3°
1424-418,2014-Jun-23,56831.0,"7.639E-01,8.118E-03",Y,0.9%,93.0,6.024,0.102,0.008,0° ± 0.3°
1424-418,2014-Apr-08,56755.0,"-1.093E+00,1.124E+00",Y,2.4%,93.0,13.17,0.282,1.124,0° ± 0.4°
1424-418,2014-Apr-08,56755.0,"-1.093E+00,1.124E+00",Y,2.4%,95.0,13.488,0.282,1.124,0.1° ± 0.4°
1424-418,2012-Jul-19,56127.0,"7.871E-01,-5.511E-02",Y,1.3%,93.0,4.771,0.109,-0.055,0° ± 0.3°
1424-418,2012-Jul-19,56127.0,"7.871E-01,-5.511E-02",Y,1.3%,95.0,4.765,0.109,-0.055,-0.1° ± 0.4°
1424-418,2005-May-26,53516.0,"3.079E+00,-1.398E+00",Y,1.5%,93.504,2.108,0.016,-1.398,0.1° ± 4°
1424-418,2005-May-26,53516.0,"3.079E+00,-1.398E+00",Y,1.5%,95.552,2.045,0.016,-1.398,0.3° ± 4.6°
1424-418,2004-May-02,53127.0,"-1.844E+00,1.154E+00",Y,3.2%,89.0005,2.544,0.034,1.154,-0.7° ± 5.9°
1424-418,2004-May-02,53127.0,"-1.844E+00,1.154E+00",Y,3.2%,90.0005,2.577,0.034,1.154,0.3° ± 3.7°
1424-418,2023-Jan-03,59947.0,"9.628E-02,4.756E-01",Y,0%,38.0,7.041,0.023,0.476,0.1° ± 0.2°
1424-418,2023-Jan-03,59947.0,"9.628E-02,4.756E-01",Y,0%,40.0,7.215,0.023,0.476,0.1° ± 0.2°
1424-418,2022-Nov-20,59903.0,"5.287E-01,2.070E-01",Y,0%,38.0,7.173,0.02,0.207,0.2° ± 0.3°
1424-418,2022-Nov-20,59903.0,"5.287E-01,2.070E-01",Y,0%,40.0,7.25,0.02,0.207,0.1° ± 0.3°
1424-418,2022-Nov-10,59893.0,"1.289E+00,-3.568E-01",Y,0.1%,33.0,5.587,0.097,-0.357,0° ± 0.1°
